venta_id,fecha_venta,tienda,categoria,producto,cantidad,precio_unitario,monto_total,metodo_pago
V001944,2025-04-27,Trujillo,Electronica,Teclado mecanico,3,401.33,1203.99,Transferencia
V001987,2025-04-05,Trujillo,Ropa,Casaca impermeable,5,220.12,1100.60,Transferencia
V001179,2025-06-29,Lima Centro,ropa ,Polo algodon,1,91.00,91.00,Tarjeta
V001327,2025-05-03,Lima Centro,ALIMENTOS,Chocolate 70%,2,418.62,837.24,Yape
V001851,2025-05-21,Arequipa,Electronica,Teclado mecanico,4,477.59,1910.36,Yape
V001915,2025-05-14,Cusco, alimentos,Cafe molido 500g,4,230.54,-193.87,Tarjeta
V001902,2025-05-02,Trujillo,juguetes,Set de bloques,1,144.91,144.91,Efectivo
V001650,2025-04-27,Lima Centro,juguetes,Set de bloques,1,462.48,462.48,Plin
V001539,2025-06-10,Miraflores,Hogar,Lampara LED,2,310.62,621.24,Yape
V001332,2025-04-03,Arequipa,ELECTRONICA,Cargador USB-C,1,121.86,121.86,
V001535,2025-04-07,Cusco,Alimentos,Cafe molido 500g,4,442.22,1768.88,Transferencia
V000032,2025-06-05,Trujillo,Hogar,Olla antiadherente,2,19.17,38.34,Yape
V000854,2025-04-04,Miraflores,,Lampara LED,2,403.76,807.52,Plin
V000572,2025-06-24,Trujillo,HOGAR ,Olla antiadherente,2,301.57,603.14,Plin
V001565,2025-06-20,Arequipa,Ropa,Jean clasico,2,447.41,894.82,Tarjeta
V000610,2025-06-03,Lima Centro,ROPA,Zapatillas urbanas,1,97.17,97.17,Plin
V000446,2025-05-18,Miraflores,ropa ,Casaca impermeable,1,177.57,177.57,Plin
V001575,2025-05-25,Lima Centro,ROPA,Jean clasico,1,103.94,103.94,Efectivo
V001854,2025-05-26,Miraflores,hogar,Lampara LED,4,280.61,1122.44,Yape
V001414,2025-06-20,Lima Centro,ropa ,Zapatillas urbanas,2,247.47,494.94,Transferencia
V001525,2025-04-04,Miraflores,electronica,Monitor 24,5,433.35,2166.75,Tarjeta
V001645,2025-04-06,Miraflores,HOGAR ,Olla antiadherente,1,458.20,458.20,Tarjeta
V001338,2025-06-24,Lima Centro,ELECTRONICA,Audifonos BT,2,381.40,762.80,Yape
V000594,2025-05-01,Trujillo,electronica,Audifonos BT,2,127.41,254.82,Efectivo
V001504,2025-05-05,Lima Centro,juguetes,Peluche mediano,1,266.04,266.04,Transferencia
V000010,2025-05-26,Miraflores,juguetes,Set de bloques,2,466.35,-219.01,Yape
V001674,2025-06-19,Cusco,juguetes,Set de bloques,1,400.56,400.56,Yape
V001113,2025-04-24,Lima Centro,juguetes,Peluche mediano,1,451.77,451.77,Efectivo
V001353,2025-04-06,Arequipa,Juguetes,Peluche mediano,5,143.55,717.75,Yape
V000321,2025-04-02,Cusco,juguetes,Rompecabezas 1000,1,236.01,236.01,Yape
V000231,2025-04-22,Arequipa, alimentos,Aceite de oliva,1,378.45,378.45,Yape
V000664,2025-04-01,Trujillo,ROPA,Casaca impermeable,3,263.09,789.27,Transferencia
V000583,2025-05-11,Miraflores, alimentos,Miel de abeja,2,171.93,343.86,Plin
V000835,2025-05-29,Arequipa,electronica,Teclado mecanico,0,53.98,0.00,Efectivo
V001443,2025-06-25,Trujillo,Juguetes,Peluche mediano,2,236.37,472.74,Transferencia
V001591,2025-04-09,Cusco,ALIMENTOS,Cafe molido 500g,1,362.19,362.19,Transferencia
V000919,2025-04-18,Lima Centro,,Casaca impermeable,4,392.13,1568.52,Efectivo
V000698,2025-04-13,Lima Centro,HOGAR ,Juego de sabanas,3,433.50,1300.50,Yape
V001184,2025-05-30,Trujillo,ROPA,Casaca impermeable,1,28.15,28.15,Plin
V000199,2025-05-19,Trujillo,Alimentos,Miel de abeja,2,475.39,950.78,Efectivo
V000150,2025-05-09,Trujillo,Electronica,Cargador USB-C,2,315.33,630.66,Transferencia
V001789,2025-05-22,Trujillo, Electronica ,Teclado mecanico,2,8.93,17.86,Yape
V001885,2025-05-24,Lima Centro,ropa ,Casaca impermeable,1,83.67,83.67,Efectivo
V001099,2025-05-15,Arequipa,Electronica,Cargador USB-C,1,52.64,52.64,Yape
V000470,2025-06-07,Arequipa,Ropa,Polo algodon,5,246.83,1234.15,Plin
V001984,2025-05-12,Lima Centro,,Jean clasico,5,319.45,1597.25,Plin
V000248,2025-06-17,Lima Centro,Electronica,Mouse inalambrico,4,352.54,1410.16,Efectivo
V001217,2025-05-18,Trujillo,ropa ,Jean clasico,3,350.77,1052.31,Tarjeta
V000688,2025-04-04,Miraflores,ELECTRONICA,Audifonos BT,3,22.17,66.51,Yape
V001536,2025-06-28,Cusco,Juguetes,Rompecabezas 1000,1,76.77,76.77,
V001900,2025-06-13,Lima Centro,ropa ,Zapatillas urbanas,1,181.57,181.57,Transferencia
V001502,2025-05-06,Lima Centro,HOGAR ,Organizador,1,131.75,131.75,Tarjeta
V000857,2025-04-12,Lima Centro,ropa ,Polo algodon,4,405.91,1623.64,Yape
V000974,2025-06-08,Trujillo,ELECTRONICA,Mouse inalambrico,3,369.95,1109.85,Tarjeta
V000742,2025-06-06,Lima Centro, alimentos,Miel de abeja,1,12.49,12.49,Efectivo
V001170,2025-05-17,Arequipa,HOGAR ,Lampara LED,1,175.42,175.42,Plin
V000023,2025-05-21,Miraflores,juguetes,Rompecabezas 1000,4,318.28,1273.12,Yape
V000217,2025-06-26,Cusco,ELECTRONICA,Audifonos BT,1,130.12,130.12,Plin
V001013,2025-04-30,Cusco, alimentos,Miel de abeja,2,127.22,254.44,Efectivo
V002000,2025-05-20,Miraflores,juguetes,Peluche mediano,2,192.75,385.50,Transferencia
V001038,2025-04-15,Cusco,Alimentos,Aceite de oliva,4,442.80,1771.20,Tarjeta
V000553,2025-05-04,Trujillo,electronica,Audifonos BT,2,240.72,481.44,Transferencia
V001641,2025-05-26,Cusco,electronica,Cargador USB-C,5,53.36,266.80,Tarjeta
V000349,2025-06-22,Arequipa, alimentos,Cafe molido 500g,5,81.78,408.90,Tarjeta
V000105,2025-05-15,Lima Centro,Ropa,Zapatillas urbanas,1,295.45,295.45,Yape
V000172,2025-04-13,Miraflores,hogar,Lampara LED,2,90.83,181.66,Efectivo
V001145,2025-06-30,Arequipa,hogar,Organizador,1,81.60,81.60,Plin
V001009,2025-05-05,Lima Centro,Ropa,Casaca impermeable,4,171.75,687.00,Transferencia
V000376,2025-06-16,Lima Centro,ROPA,Jean clasico,1,295.46,295.46,Transferencia
V001928,2025-04-30,Trujillo,juguetes,Set de bloques,5,125.42,627.10,Tarjeta
V001965,2025-06-12,Trujillo,Ropa,Jean clasico,1,19.00,19.00,Plin
V001825,2025-04-14,Lima Centro,Hogar,Organizador,5,373.75,1868.75,Plin
V001227,2025-05-02,Lima Centro,Hogar,Organizador,1,187.34,187.34,Transferencia
V000546,2025-05-28,Lima Centro,electronica,Cargador USB-C,2,283.38,566.76,Efectivo
V001429,2025-06-19,Arequipa,ROPA,Zapatillas urbanas,5,351.54,1757.70,Yape
V000647,2025-04-14,Arequipa,Juguetes,Peluche mediano,2,173.36,346.72,Transferencia
V001428,2025-05-17,Cusco,ALIMENTOS,Chocolate 70%,1,161.52,161.52,Tarjeta
V001411,2025-04-10,Cusco,Alimentos,Chocolate 70%,1,374.88,374.88,Plin
V000946,2025-05-08,Miraflores,hogar,Lampara LED,3,468.25,1404.75,Tarjeta
V000183,2025-04-03,Miraflores,Ropa,Zapatillas urbanas,3,81.22,243.66,Plin
V000858,2025-04-17,Trujillo,Alimentos,Cafe molido 500g,1,21.13,21.13,Efectivo
V001351,2025-04-20,Arequipa,electronica,Audifonos BT,2,234.93,469.86,Transferencia
V001694,2025-05-22,Arequipa,juguetes,Set de bloques,2,400.66,801.32,Yape
V000542,2025-05-28,Cusco,Juguetes,Rompecabezas 1000,5,130.91,654.55,Yape
V000860,2025-04-19,Arequipa,Hogar,Juego de sabanas,1,304.15,304.15,Transferencia
V000689,2025-05-04,Lima Centro,ropa ,Jean clasico,1,111.34,111.34,Tarjeta
V001391,2025-04-13,Miraflores,,Juego de sabanas,4,278.42,1113.68,Plin
V000866,2025-04-27,Trujillo,hogar,Olla antiadherente,2,332.29,664.58,Transferencia
V000789,2025-04-17,Miraflores,ROPA,Jean clasico,4,244.88,979.52,Efectivo
V001710,2025-04-18,Cusco,HOGAR ,Olla antiadherente,3,161.94,485.82,Plin
V000397,2025-06-07,Lima Centro, Electronica ,Teclado mecanico,1,195.41,195.41,Efectivo
V000318,2025-04-12,Arequipa, Electronica ,Audifonos BT,1,321.10,321.10,Yape
V000989,2025-04-13,Lima Centro,Ropa,Zapatillas urbanas,0,476.84,0.00,Transferencia
V001758,2025-04-02,Arequipa,,Chocolate 70%,1,468.35,-204.09,Plin
V001074,2025-05-23,Trujillo,HOGAR ,Lampara LED,2,327.86,655.72,Tarjeta
V001706,2025-06-23,Arequipa, alimentos,Cafe molido 500g,1,207.42,207.42,Transferencia
V000046,2025-06-19,Cusco,ROPA,Jean clasico,4,237.22,948.88,Plin
V000480,2025-04-27,Cusco,Hogar,Organizador,4,286.73,1146.92,Plin
V000201,2025-05-06,Cusco,electronica,Teclado mecanico,2,433.40,866.80,Efectivo
V001997,2025-06-29,Trujillo,Juguetes,Peluche mediano,2,451.23,902.46,Plin
V000856,2025-04-30,Lima Centro,juguetes,Set de bloques,1,451.39,451.39,Transferencia
V001526,2025-04-09,Cusco,juguetes,Peluche mediano,4,331.36,1325.44,Transferencia
V000527,2025-05-25,Miraflores,Juguetes,Rompecabezas 1000,2,48.82,97.64,Plin
V000358,2025-04-21,Miraflores,ropa ,Zapatillas urbanas,1,195.28,195.28,Transferencia
V001738,2025-05-14,Lima Centro,juguetes,Rompecabezas 1000,2,113.96,227.92,Plin
V000165,2025-05-07,Lima Centro,ALIMENTOS,Chocolate 70%,2,143.84,287.68,Tarjeta
V000544,2025-05-27,Arequipa,HOGAR ,Lampara LED,5,430.90,2154.50,Transferencia
V000333,2025-06-28,Arequipa,HOGAR ,Olla antiadherente,2,106.98,213.96,Tarjeta
V001211,2025-04-25,Trujillo,ELECTRONICA,Audifonos BT,2,447.04,894.08,Yape
V000443,2025-06-12,Miraflores,ROPA,Casaca impermeable,2,332.99,665.98,Tarjeta
V000977,2025-06-09,Cusco, alimentos,Aceite de oliva,2,414.86,829.72,Plin
V001214,2025-04-06,Lima Centro,ROPA,Polo algodon,4,328.03,1312.12,Efectivo
V000354,2025-05-13,Trujillo, alimentos,Aceite de oliva,1,155.84,155.84,Yape
V000491,2025-06-09,Cusco,Ropa,Jean clasico,5,252.00,1260.00,Efectivo
V000237,2025-06-28,Miraflores,Electronica,Monitor 24,1,66.64,66.64,Plin
V001112,2025-05-27,Trujillo, Electronica ,Cargador USB-C,1,63.45,63.45,Efectivo
V000412,2025-06-22,Miraflores,juguetes,Rompecabezas 1000,3,371.82,1115.46,Efectivo
V000355,2025-04-18,Cusco, alimentos,Miel de abeja,3,373.69,1121.07,Yape
V001032,2025-04-27,Lima Centro,Hogar,Olla antiadherente,2,244.74,489.48,
V000298,2025-04-01,Cusco, alimentos,Miel de abeja,3,224.65,673.95,Plin
V000240,2025-05-18,Arequipa,Hogar,Juego de sabanas,4,335.58,1342.32,Efectivo
V000081,2025-06-28,Arequipa,Electronica,Teclado mecanico,2,478.79,957.58,Efectivo
V000381,2025-06-15,Lima Centro,Juguetes,Set de bloques,2,335.66,671.32,Plin
V001153,2025-04-08,Lima Centro, alimentos,Cafe molido 500g,5,40.75,203.75,Transferencia
V001181,2025-04-09,Trujillo, alimentos,Chocolate 70%,3,355.13,1065.39,Tarjeta
V001501,2025-05-17,Arequipa,ROPA,Casaca impermeable,1,441.46,441.46,Efectivo
V001390,2025-04-19,Trujillo,juguetes,Set de bloques,3,22.13,66.39,Yape
V001637,2025-04-06,Arequipa,hogar,Organizador,2,277.47,554.94,Yape
V001488,2025-06-24,Cusco,ropa ,Polo algodon,1,468.68,468.68,Transferencia
V000460,2025-06-28,Arequipa,HOGAR ,Lampara LED,3,431.63,1294.89,Plin
V001698,2025-04-03,Miraflores,Juguetes,Rompecabezas 1000,1,250.46,250.46,Plin
V000079,2025-05-04,Arequipa, Electronica ,Monitor 24,1,256.25,256.25,Tarjeta
V000033,2025-05-11,Trujillo,juguetes,Set de bloques,1,62.44,62.44,Transferencia
V000901,2025-05-30,Cusco,hogar,Olla antiadherente,2,126.01,252.02,Transferencia
V001939,2025-06-19,Trujillo,Ropa,Polo algodon,5,476.85,2384.25,Yape
V000071,2025-06-09,Trujillo, Electronica ,Monitor 24,1,156.45,156.45,Efectivo
V000710,2025-04-23,Trujillo,juguetes,Set de bloques,5,226.39,1131.95,Yape
V001562,2025-05-13,Lima Centro,Juguetes,Rompecabezas 1000,5,103.43,517.15,Efectivo
V001479,2025-04-15,Lima Centro,electronica,Audifonos BT,2,198.21,396.42,Efectivo
V000334,2025-06-06,Lima Centro,electronica,Mouse inalambrico,5,283.08,1415.40,Plin
V001507,2025-06-27,Trujillo,Hogar,Lampara LED,3,387.29,1161.87,Tarjeta
V000619,2025-06-07,Cusco,Alimentos,Miel de abeja,1,27.09,27.09,Tarjeta
V000814,2025-04-15,Miraflores,ropa ,Jean clasico,2,114.62,229.24,Efectivo
V000754,2025-06-03,Trujillo,juguetes,Peluche mediano,0,58.31,0.00,Yape
V000944,2025-04-10,Cusco,HOGAR ,Lampara LED,1,328.20,328.20,Tarjeta
V000252,2025-05-02,Trujillo,Electronica,Monitor 24,3,188.77,566.31,Plin
V000385,2025-06-09,Lima Centro,Ropa,Casaca impermeable,2,402.75,805.50,Plin
V001543,2025-06-19,Trujillo, Electronica ,Teclado mecanico,2,8.75,17.50,Transferencia
V000898,2025-05-07,Cusco,Hogar,Juego de sabanas,0,238.51,0.00,Tarjeta
V000991,2025-04-28,Arequipa,Hogar,Lampara LED,4,448.99,1795.96,Tarjeta
V001518,2025-05-21,Trujillo,Juguetes,Peluche mediano,0,476.87,0.00,Transferencia
V000128,2025-04-13,Arequipa,Hogar,Juego de sabanas,4,33.14,132.56,Efectivo
V001473,2025-04-04,Lima Centro,ropa ,Zapatillas urbanas,1,264.94,264.94,Efectivo
V001576,2025-06-18,Miraflores,Juguetes,Peluche mediano,2,38.40,76.80,Yape
V001549,2025-04-18,Trujillo,ALIMENTOS,Chocolate 70%,3,248.95,746.85,Efectivo
V000316,2025-05-08,Arequipa,Juguetes,Peluche mediano,5,78.40,392.00,Tarjeta
V000578,2025-04-22,Lima Centro,HOGAR ,Juego de sabanas,2,124.87,249.74,Yape
V001382,2025-06-12,Cusco,,Jean clasico,1,33.20,33.20,Efectivo
V000707,2025-05-24,Trujillo,juguetes,Rompecabezas 1000,5,35.12,175.60,Efectivo
V000042,2025-04-10,Arequipa,ropa ,Zapatillas urbanas,5,130.34,651.70,Tarjeta
V001725,2025-04-29,Cusco, alimentos,Cafe molido 500g,2,243.48,486.96,Yape
V001100,2025-04-26,Arequipa, alimentos,Miel de abeja,1,464.09,464.09,Tarjeta
V001610,2025-05-17,Miraflores,ALIMENTOS,Chocolate 70%,5,197.45,987.25,Yape
V001601,2025-05-24,Trujillo, Electronica ,Teclado mecanico,0,206.15,0.00,Yape
V000266,2025-05-19,Arequipa,ELECTRONICA,Audifonos BT,2,188.78,377.56,Transferencia
V001932,2025-05-22,Cusco,Juguetes,Peluche mediano,1,285.53,285.53,Transferencia
V001977,2025-06-25,Cusco,ROPA,Zapatillas urbanas,3,191.30,573.90,Plin
V000132,2025-06-07,Cusco,Alimentos,Cafe molido 500g,3,121.55,364.65,Yape
V000957,2025-04-13,Miraflores,Ropa,Polo algodon,3,326.08,978.24,Transferencia
V001304,2025-05-04,Miraflores,Hogar,Olla antiadherente,2,14.71,29.42,Efectivo
V000377,2025-06-05,Cusco,ropa ,Zapatillas urbanas,5,13.06,65.30,Efectivo
V001062,2025-05-11,Cusco,hogar,Olla antiadherente,3,137.94,413.82,Tarjeta
V001812,2025-05-03,Cusco,ALIMENTOS,Aceite de oliva,1,79.19,79.19,Yape
V000721,2025-04-28,Trujillo,electronica,Monitor 24,3,13.66,40.98,Yape
V001082,2025-05-28,Trujillo,,Jean clasico,1,72.81,72.81,Tarjeta
V000419,2025-04-11,Trujillo,Alimentos,Miel de abeja,2,31.17,62.34,Tarjeta
V000884,2025-06-05,Arequipa,juguetes,Set de bloques,3,133.35,400.05,Plin
V001150,2025-04-19,Trujillo,Electronica,Audifonos BT,2,25.95,51.90,Transferencia
V000747,2025-04-19,Cusco,Electronica,Mouse inalambrico,4,451.25,1805.00,Yape
V001261,2025-04-05,Trujillo,HOGAR ,Lampara LED,2,233.87,467.74,Transferencia
V001580,2025-06-21,Arequipa,Hogar,Lampara LED,2,17.68,35.36,Efectivo
V001574,2025-06-26,Cusco,,Lampara LED,1,439.15,439.15,Plin
V000811,2025-05-14,Lima Centro,Ropa,Casaca impermeable,1,134.33,134.33,Efectivo
V001815,2025-04-03,Arequipa,Juguetes,Rompecabezas 1000,1,257.33,257.33,Plin
V001938,2025-04-30,Arequipa,HOGAR ,Olla antiadherente,0,148.11,0.00,Efectivo
V000037,2025-06-05,Trujillo,juguetes,Rompecabezas 1000,2,143.42,286.84,Plin
V001188,2025-05-24,Trujillo,Hogar,Juego de sabanas,1,457.79,457.79,Plin
V001797,2025-06-30,Cusco,ALIMENTOS,Miel de abeja,1,346.01,346.01,Efectivo
V000517,2025-06-02,Lima Centro,HOGAR ,Olla antiadherente,5,123.00,615.00,
V001678,2025-04-10,Trujillo, Electronica ,Cargador USB-C,5,463.96,2319.80,Transferencia
V001667,2025-04-20,Cusco,Hogar,Organizador,4,167.70,670.80,Tarjeta
V000096,2025-04-04,Miraflores,HOGAR ,Olla antiadherente,1,138.87,138.87,Tarjeta
V001018,2025-05-25,Cusco,ALIMENTOS,Aceite de oliva,1,190.93,190.93,Yape
V001422,2025-05-14,Trujillo,ropa ,Jean clasico,4,399.91,1599.64,Transferencia
V001669,2025-04-02,Trujillo,hogar,Organizador,5,216.14,1080.70,Yape
V000865,2025-05-22,Miraflores,electronica,Teclado mecanico,2,137.17,274.34,Plin
V001810,2025-05-23,Lima Centro,Hogar,Lampara LED,5,228.46,1142.30,
V001583,2025-06-09,Cusco,Electronica,Audifonos BT,1,311.57,311.57,Efectivo
V000246,2025-05-25,Trujillo,juguetes,Rompecabezas 1000,1,131.75,131.75,Transferencia
V001272,2025-05-15,Trujillo, alimentos,Aceite de oliva,4,460.94,1843.76,Yape
V001318,2025-04-07,Miraflores,hogar,Lampara LED,1,430.59,430.59,Yape
V000468,2025-05-10,Arequipa, Electronica ,Mouse inalambrico,4,303.71,1214.84,Efectivo
V000449,2025-04-06,Miraflores,Electronica,Cargador USB-C,4,347.93,1391.72,Plin
V000018,2025-05-02,Lima Centro, Electronica ,Monitor 24,3,385.88,1157.64,Tarjeta
V001545,2025-06-21,Cusco,Juguetes,Peluche mediano,4,83.19,332.76,Transferencia
V000323,2025-05-12,Miraflores,ROPA,Polo algodon,1,311.68,311.68,Efectivo
V001764,2025-04-28,Trujillo,juguetes,Peluche mediano,1,247.43,247.43,Tarjeta
V001254,2025-05-23,Miraflores,ROPA,Polo algodon,1,51.04,51.04,Efectivo
V000452,2025-04-12,Arequipa,ropa ,Casaca impermeable,4,203.20,812.80,Tarjeta
V000529,2025-04-02,Trujillo,Alimentos,Cafe molido 500g,4,258.69,1034.76,Tarjeta
V000738,2025-05-21,Arequipa,Hogar,Organizador,1,59.58,59.58,Tarjeta
V000920,2025-04-27,Cusco,HOGAR ,Organizador,1,168.82,168.82,Plin
V001297,2025-04-14,Trujillo,ROPA,Casaca impermeable,0,26.15,0.00,Yape
V001467,2025-04-17,Miraflores,juguetes,Peluche mediano,1,217.15,217.15,Efectivo
V001605,2025-05-05,Miraflores,electronica,Mouse inalambrico,1,128.70,128.70,Transferencia
V001631,2025-05-27,Arequipa,electronica,Monitor 24,4,443.68,1774.72,Plin
V000481,2025-04-15,Cusco,Alimentos,Miel de abeja,3,265.02,795.06,Transferencia
V001142,2025-06-05,Arequipa,ALIMENTOS,Aceite de oliva,3,463.10,1389.30,Transferencia
V000765,2025-06-23,Lima Centro,ALIMENTOS,Cafe molido 500g,4,270.46,1081.84,Transferencia
V001587,2025-05-27,Lima Centro,ALIMENTOS,Chocolate 70%,3,253.75,761.25,Transferencia
V000695,2025-05-19,Cusco,Juguetes,Peluche mediano,1,105.80,105.80,Yape
V001388,2025-06-17,Arequipa, alimentos,Aceite de oliva,2,154.08,308.16,Yape
V000847,2025-04-28,Miraflores,ELECTRONICA,Monitor 24,0,253.77,0.00,Transferencia
V001265,2025-04-24,Miraflores,electronica,Mouse inalambrico,1,260.03,260.03,Tarjeta
V001420,2025-05-14,Arequipa,juguetes,Set de bloques,5,276.66,1383.30,Tarjeta
V000442,2025-06-14,Cusco,ALIMENTOS,Aceite de oliva,1,209.29,209.29,Tarjeta
V001841,2025-05-03,Miraflores,ALIMENTOS,Miel de abeja,1,429.73,429.73,Plin
V001837,2025-05-25,Trujillo,juguetes,Set de bloques,1,115.18,115.18,Yape
V000372,2025-06-18,Arequipa,hogar,Organizador,3,58.31,174.93,Plin
V001125,2025-05-29,Cusco,Juguetes,Set de bloques,1,389.02,389.02,Transferencia
V001322,2025-05-07,Arequipa,ALIMENTOS,Aceite de oliva,4,98.85,395.40,Plin
V001213,2025-06-28,Miraflores,electronica,Monitor 24,1,14.77,14.77,Transferencia
V001460,2025-04-27,Cusco,ALIMENTOS,Aceite de oliva,2,444.83,889.66,Plin
V000374,2025-05-14,Cusco,Alimentos,Aceite de oliva,1,360.97,360.97,Transferencia
V000609,2025-05-11,Trujillo,hogar,Organizador,2,434.12,868.24,Plin
V000536,2025-05-21,Miraflores,Electronica,Monitor 24,2,221.33,442.66,Plin
V001564,2025-06-15,Cusco,HOGAR ,Olla antiadherente,4,258.13,1032.52,Plin
V000170,2025-06-22,Cusco,Alimentos,Aceite de oliva,0,421.82,0.00,Yape
V000330,2025-04-23,Cusco,juguetes,Peluche mediano,0,462.94,0.00,Plin
V001955,2025-04-06,Cusco,HOGAR ,Juego de sabanas,1,367.71,367.71,Transferencia
V001937,2025-05-12,Trujillo,Alimentos,Chocolate 70%,1,433.33,433.33,Transferencia
V001278,2025-04-27,Lima Centro,ELECTRONICA,Teclado mecanico,2,205.47,410.94,Transferencia
V001219,2025-06-09,Miraflores,Hogar,Lampara LED,5,220.76,1103.80,Tarjeta
V001720,2025-06-12,Lima Centro,hogar,Organizador,2,53.83,107.66,Yape
V001729,2025-05-15,Miraflores,Ropa,Jean clasico,3,344.24,1032.72,Yape
V000953,2025-04-17,Lima Centro,ALIMENTOS,Aceite de oliva,0,421.66,0.00,Plin
V000328,2025-04-16,Trujillo,juguetes,Set de bloques,1,29.61,29.61,Transferencia
V001756,2025-06-30,Trujillo,ALIMENTOS,Cafe molido 500g,3,439.46,1318.38,Yape
V001886,2025-04-08,Trujillo,juguetes,Rompecabezas 1000,5,237.32,1186.60,Plin
V000339,2025-05-30,Miraflores,Ropa,Casaca impermeable,1,186.04,186.04,
V000796,2025-04-17,Arequipa,Alimentos,Aceite de oliva,2,455.61,911.22,Transferencia
V001077,2025-04-10,Miraflores,juguetes,Set de bloques,2,362.90,725.80,Tarjeta
V000618,2025-06-18,Miraflores,HOGAR ,Olla antiadherente,5,218.25,1091.25,Plin
V000489,2025-04-01,Cusco,ALIMENTOS,Miel de abeja,1,222.47,222.47,Tarjeta
V000950,2025-05-16,Cusco,hogar,Olla antiadherente,5,156.59,782.95,Plin
V000805,2025-04-08,Lima Centro,Hogar,Lampara LED,1,454.71,454.71,Transferencia
V000115,2025-06-12,Cusco,ropa ,Polo algodon,1,457.01,457.01,Plin
V001964,2025-05-01,Lima Centro,Alimentos,Chocolate 70%,1,302.45,-72.74,Tarjeta
V000044,2025-06-13,Trujillo, alimentos,Chocolate 70%,5,204.25,1021.25,Efectivo
V001270,2025-06-15,Miraflores,Hogar,Juego de sabanas,4,188.57,-151.29,Tarjeta
V000019,2025-05-22,Lima Centro,Alimentos,Cafe molido 500g,1,315.81,-37.05,Plin
V000745,2025-06-24,Miraflores,juguetes,Rompecabezas 1000,2,456.90,913.80,Plin
V000905,2025-06-12,Trujillo,Alimentos,Miel de abeja,1,47.96,47.96,Efectivo
V001215,2025-06-23,Lima Centro,Hogar,Lampara LED,5,103.67,518.35,Plin
V001790,2025-05-22,Lima Centro,ropa ,Polo algodon,1,9.59,9.59,Efectivo
V000746,2025-05-22,Cusco,electronica,Mouse inalambrico,1,307.14,307.14,Tarjeta
V000571,2025-05-19,Cusco,Hogar,Organizador,5,116.95,-223.96,Efectivo
V000241,2025-04-28,Miraflores,,Zapatillas urbanas,1,310.82,310.82,Tarjeta
V000352,2025-06-23,Miraflores,juguetes,Rompecabezas 1000,2,325.04,650.08,Yape
V001701,2025-04-30,Miraflores,Alimentos,Aceite de oliva,1,36.15,36.15,Plin
V000791,2025-05-02,Trujillo,electronica,Monitor 24,2,299.51,599.02,Yape
V000262,2025-05-22,Arequipa,Ropa,Polo algodon,5,56.10,280.50,Tarjeta
V001027,2025-06-08,Trujillo,Electronica,Cargador USB-C,2,92.36,-104.14,Yape
V000759,2025-04-26,Lima Centro,juguetes,Rompecabezas 1000,2,223.96,447.92,Tarjeta
V000621,2025-05-16,Arequipa,hogar,Juego de sabanas,1,440.97,440.97,Transferencia
V001423,2025-05-14,Trujillo,ROPA,Jean clasico,1,331.07,331.07,Plin
